               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.060293,            0.026291,                   0,              0.5441,             0.35855,             0.53227,             0.27125,            0.033207,            0.010496,                   0,              0.0937,              0.0007,              0.0007
                   1,            0.035092,            0.022833,                   0,            0.090535,             0.12489,            0.029544,           0.0073124,            0.031977,            0.007721,                   0,             0.08647,           0.0014703,           0.0014703
                   2,            0.036511,            0.019029,                   0,            0.058372,                   1,             0.52553,             0.36901,            0.016785,              0.2576,                   0,            0.079209,           0.0022089,           0.0022089
                   3,            0.031431,            0.014468,                   0,             0.26804,                 0.7,             0.40618,             0.27271,            0.019338,            0.077255,                   0,            0.071916,           0.0029159,           0.0029159
                   4,            0.031753,            0.015405,                   0,             0.13177,                 0.1,            0.056717,             0.01668,             0.02296,            0.033475,                   0,            0.064591,           0.0035911,           0.0035911
                   5,            0.029763,            0.013309,                   0,            0.038659,                 0.6,            0.081804,            0.019292,            0.028671,             0.11722,                   0,            0.057235,           0.0042347,           0.0042347
                   6,              0.0277,            0.014055,                   0,            0.010231,                 0.7,            0.065921,            0.018335,             0.03385,             0.59479,                   0,            0.049847,           0.0048466,           0.0048466
                   7,            0.029562,            0.017671,                   0,            0.016791,                 0.5,            0.023508,           0.0075192,            0.023864,             0.30873,                   0,            0.042427,           0.0054268,           0.0054268
                   8,            0.030223,            0.015111,                   0,            0.034298,                 0.2,            0.065833,            0.022107,            0.023277,             0.11524,                   0,            0.034975,           0.0059754,           0.0059754
                   9,            0.031098,            0.015516,                   0,            0.038058,                0.15,            0.033651,            0.010689,            0.021629,            0.082551,                   0,            0.027492,           0.0064922,           0.0064922
                  10,             0.02949,            0.016324,                   0,            0.023826,                0.25,            0.015504,           0.0056351,            0.024812,             0.12847,                   0,            0.019977,           0.0069774,           0.0069774
                  11,             0.02796,            0.017965,                   0,             0.11436,                 0.4,            0.071052,            0.026071,            0.019844,            0.054992,                   0,            0.012431,           0.0074309,           0.0074309
                  12,            0.027485,            0.014318,                   0,             0.19858,                0.35,             0.20615,            0.067621,            0.016808,            0.043893,                   0,            0.007624,            0.007624,            0.007624
                  13,            0.033158,            0.016491,                   0,            0.079394,                 0.4,            0.066179,            0.020735,            0.016536,            0.042085,                   0,            0.007624,            0.007624,            0.007624
                  14,             0.03544,            0.015445,                   0,             0.41266,                0.45,             0.38823,             0.13988,            0.012945,             0.03748,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.025712,            0.014507,                   0,             0.51352,                 0.8,             0.54492,             0.14498,            0.011115,            0.029353,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.026103,            0.013964,                   0,             0.40346,                0.75,             0.42086,             0.14669,            0.012519,            0.020904,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.026673,            0.015108,                   0,             0.49896,                 0.7,             0.45983,             0.15861,            0.012232,            0.019101,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.026408,             0.01463,                   0,             0.47157,                0.65,             0.46437,             0.17848,            0.013398,            0.016202,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.025014,            0.013156,                   0,              0.2261,              0.5552,             0.25008,            0.098727,            0.013895,            0.015128,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.022384,            0.014268,                   0,             0.34491,                0.45,             0.34172,             0.12679,            0.011662,            0.015044,                   0,            0.006238,            0.006238,            0.006238
                  21,             0.02835,            0.013254,                   0,             0.40282,                0.65,             0.42277,             0.13639,            0.010988,            0.010581,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.021886,             0.01319,                   0,              0.4003,                 0.8,             0.40871,             0.16953,           0.0096422,            0.010822,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.021689,            0.013889,                   0,             0.46665,             0.69996,             0.49557,             0.19622,            0.009863,            0.012734,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.020808,            0.015455,                   0,              0.6513,                 0.7,             0.66926,             0.44936,            0.010073,            0.012792,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.022494,            0.013436,                   0,             0.66371,             0.69113,             0.69368,             0.37945,           0.0091123,             0.01081,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.026324,            0.014269,                   0,             0.60604,                0.65,             0.63795,             0.30371,           0.0090874,            0.009369,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.024053,            0.015803,                   0,             0.68375,                0.65,             0.70752,             0.44415,           0.0062811,           0.0071751,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.022628,            0.013979,                   0,              0.5566,             0.62819,             0.65978,             0.30992,           0.0084024,           0.0063226,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.027317,            0.014304,                   0,             0.46261,                0.75,             0.61311,             0.29203,           0.0096128,            0.005037,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.028848,            0.014339,                   0,             0.76026,                 0.8,              0.7868,             0.38834,           0.0095555,           0.0049256,                   0,            0.004258,            0.004258,            0.004258
                  31,              0.0208,            0.013821,                   0,             0.59829,                 0.6,             0.56499,             0.22884,             0.01158,           0.0057137,                   0,             0.00406,             0.00406,             0.00406
                  32,              0.0197,            0.013965,                   0,             0.59036,                0.75,             0.66297,             0.28168,            0.009264,           0.0060319,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.032122,            0.013852,                   0,             0.70484,             0.71693,              0.7521,             0.31738,            0.010828,           0.0050714,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.019903,            0.014365,                   0,             0.68016,                0.65,             0.73469,             0.31536,            0.013348,           0.0046476,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.020846,            0.015129,                   0,             0.72949,                 0.7,             0.76697,             0.35024,           0.0093212,           0.0051227,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.019804,            0.012932,                   0,             0.69893,             0.69662,             0.71976,              0.3676,            0.007743,           0.0055457,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.021776,            0.014444,                   0,             0.66202,                0.75,             0.69663,             0.29663,              0.0107,            0.005582,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.022146,            0.013998,                   0,             0.62345,              0.8283,             0.68695,             0.24665,            0.012527,           0.0050016,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.027016,            0.012523,                   0,              0.6439,                0.85,             0.79676,             0.45752,           0.0088588,           0.0047068,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.018715,            0.012558,                   0,             0.71686,             0.88654,             0.84256,             0.53643,           0.0073142,           0.0050043,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.020159,             0.01332,                   0,             0.68056,                0.85,             0.83891,             0.51559,           0.0077079,           0.0055919,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.020019,            0.013844,                   0,             0.65562,                0.85,             0.80154,             0.44805,           0.0085336,           0.0055369,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.018269,            0.012785,                   0,             0.73787,              0.8447,             0.76817,             0.40585,           0.0091917,           0.0049762,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.018623,            0.014249,                   0,             0.60496,                 0.9,             0.74506,             0.46291,           0.0079812,           0.0048759,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.019517,            0.013024,                   0,             0.61751,                 0.9,             0.74602,             0.48795,           0.0071337,            0.005066,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.017945,            0.012409,                   0,             0.67181,                 0.9,             0.77616,             0.47376,           0.0076162,           0.0053173,                   0,             0.00109,             0.00109,             0.00109
                  47,             0.01861,            0.012827,                   0,             0.66386,                0.85,             0.73965,             0.40989,            0.008723,            0.005563,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.026817,            0.013284,                   0,              0.6295,             0.76499,             0.71568,             0.40006,           0.0089945,           0.0057017,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.019836,            0.013702,                   0,             0.63384,                 0.8,             0.73188,              0.4025,           0.0085763,           0.0056758,                   0,            0.000496,            0.000496,            0.000496
